Taxon	SCF1	GCF2	SBFA1	NCK3	SBFB2	NCF1	SBFA3	NBFB3	GCF1	SCFBF3	CS2	GCK3	SCK3	GCF3	GCFBF1	SBFB1	GBFB2	NCFBF3	NBFA3	CS1	SCF2	NBFB2	NBFA2	NCK1	NCK2	NBFA1	NBFB1	SCF3	SCK1	NCFBF1	GCFBF2	GCK1	SBFA2	CT3	CT1	SCFBF1	GBFB3	GBFA3	CT2	CS3	SCK2	GBFA2	NCF2	GBFB1	SCFBF2	SBFB3	NCF3	NCFBF2	GBFA1	GCFBF3	GCK2
Archaea;Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Abditibacteriota	17.0	0.0	3.0	4.0	9.0	4.0	7.0	1.0	0.0	5.0	0.0	1.0	8.0	1.0	3.0	10.0	12.0	2.0	2.0	1.0	30.0	1.0	3.0	9.0	2.0	4.0	1.0	8.0	69.0	0.0	9.0	3.0	4.0	0.0	7.0	8.0	6.0	7.0	1.0	0.0	7.0	1.0	6.0	49.0	15.0	2.0	4.0	3.0	2.0	37.0	0.0
Bacteria;Acidobacteriota	590.0	547.0	264.0	848.0	218.0	1745.0	280.0	876.0	182.0	408.0	220.0	504.0	289.0	795.0	596.0	481.0	1926.0	823.0	779.0	36.0	267.0	337.0	1273.0	1731.0	962.0	978.0	475.0	200.0	424.0	485.0	1041.0	773.0	286.0	1349.0	874.0	362.0	858.0	3098.0	537.0	28.0	635.0	934.0	471.0	276.0	492.0	573.0	837.0	939.0	1327.0	266.0	12.0
Bacteria;Actinomycetota	4530.0	5546.0	5081.0	7469.0	8611.0	6304.0	5766.0	6830.0	3461.0	2302.0	6683.0	10084.0	3459.0	6110.0	11438.0	13276.0	6872.0	5694.0	14776.0	4361.0	1750.0	3675.0	11815.0	8185.0	5075.0	5748.0	4520.0	3055.0	2962.0	4909.0	5246.0	6349.0	5289.0	10240.0	11834.0	10033.0	6044.0	7642.0	12373.0	1854.0	6347.0	7132.0	12285.0	7902.0	7832.0	3955.0	5488.0	5686.0	8145.0	2627.0	518.0
Bacteria;Armatimonadota	28.0	7.0	6.0	22.0	13.0	35.0	41.0	9.0	1.0	40.0	6.0	5.0	26.0	9.0	11.0	19.0	16.0	16.0	6.0	1.0	19.0	8.0	14.0	30.0	33.0	15.0	8.0	6.0	32.0	3.0	27.0	12.0	42.0	47.0	14.0	29.0	4.0	28.0	13.0	0.0	26.0	9.0	9.0	17.0	20.0	37.0	4.0	6.0	21.0	90.0	1.0
Bacteria;BRC1	5.0	5.0	1.0	1.0	0.0	6.0	1.0	3.0	0.0	5.0	0.0	0.0	1.0	1.0	1.0	1.0	11.0	11.0	1.0	0.0	5.0	0.0	2.0	1.0	3.0	6.0	0.0	0.0	6.0	0.0	5.0	3.0	2.0	2.0	2.0	2.0	5.0	11.0	5.0	1.0	3.0	2.0	1.0	4.0	2.0	2.0	4.0	5.0	6.0	3.0	1.0
Bacteria;Bacillota	5079.0	8814.0	5014.0	2569.0	5976.0	4420.0	6194.0	3395.0	884.0	5802.0	16216.0	2827.0	3590.0	2200.0	6163.0	3873.0	2514.0	3533.0	3821.0	15338.0	5604.0	1884.0	3628.0	2993.0	5860.0	1440.0	2697.0	2704.0	12381.0	1940.0	14580.0	3651.0	5833.0	2087.0	4224.0	4565.0	4344.0	3686.0	5448.0	22609.0	5653.0	1787.0	7533.0	5009.0	5896.0	3575.0	3631.0	3342.0	3741.0	4004.0	21417.0
Bacteria;Bacteroidota	1606.0	561.0	1118.0	1108.0	1708.0	671.0	1200.0	822.0	504.0	1194.0	930.0	1070.0	1113.0	979.0	614.0	1056.0	703.0	961.0	747.0	986.0	1671.0	645.0	809.0	873.0	551.0	694.0	806.0	2191.0	1122.0	1025.0	391.0	791.0	1123.0	874.0	834.0	1114.0	926.0	692.0	717.0	1192.0	1336.0	797.0	880.0	1314.0	1329.0	1615.0	877.0	792.0	656.0	2206.0	681.0
Bacteria;Balneolota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0
Bacteria;Campylobacterota	1.0	5.0	13.0	7.0	6.0	1.0	4.0	3.0	8.0	8.0	22.0	5.0	0.0	4.0	0.0	2.0	0.0	4.0	1.0	5.0	5.0	5.0	2.0	4.0	5.0	4.0	5.0	15.0	0.0	6.0	7.0	5.0	8.0	6.0	5.0	10.0	3.0	3.0	8.0	21.0	1.0	2.0	7.0	1.0	11.0	8.0	4.0	0.0	2.0	0.0	5.0
Bacteria;CandidatusSaccharibacteria	1363.0	567.0	182.0	927.0	279.0	434.0	342.0	777.0	699.0	341.0	948.0	658.0	260.0	822.0	1342.0	751.0	682.0	703.0	291.0	274.0	393.0	980.0	898.0	414.0	762.0	916.0	1055.0	426.0	250.0	339.0	453.0	1649.0	378.0	850.0	931.0	2158.0	1164.0	801.0	739.0	121.0	586.0	856.0	789.0	239.0	473.0	973.0	591.0	724.0	612.0	689.0	13.0
Bacteria;Chlamydiota	10.0	16.0	23.0	27.0	12.0	17.0	25.0	18.0	9.0	39.0	0.0	13.0	6.0	12.0	10.0	8.0	26.0	19.0	16.0	1.0	44.0	23.0	4.0	42.0	19.0	4.0	30.0	6.0	7.0	2.0	7.0	19.0	16.0	4.0	2.0	17.0	14.0	13.0	4.0	0.0	51.0	40.0	3.0	3.0	12.0	6.0	35.0	19.0	26.0	9.0	0.0
Bacteria;Chlorobiota	0.0	2.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	10.0	0.0	0.0
Bacteria;Chloroflexota	198.0	160.0	36.0	253.0	53.0	605.0	174.0	297.0	63.0	327.0	18.0	218.0	94.0	188.0	138.0	265.0	728.0	338.0	335.0	9.0	65.0	102.0	533.0	551.0	303.0	266.0	126.0	84.0	67.0	1627.0	418.0	331.0	174.0	402.0	249.0	55.0	184.0	614.0	231.0	1.0	73.0	270.0	191.0	46.0	184.0	110.0	206.0	377.0	343.0	104.0	1.0
